Step,Value
1,0.4112149477005005
2,0.5700934529304504
3,0.7067757248878479
4,0.7593457698822021
5,0.7733644843101501
6,0.7955607771873474
7,0.8154205679893494
8,0.8200934529304504
9,0.822429895401001
10,0.8387850522994995
11,0.8574766516685486
12,0.8656542301177979
13,0.8796728849411011
14,0.8878504633903503
15,0.8913551568984985
16,0.9007009267807007
17,0.9042056202888489
18,0.90887850522995
19,0.9182242751121521
20,0.9205607771873474
21,0.9310747385025024
22,0.9345794320106506
23,0.9462617039680481
24,0.9485981464385986
25,0.9544392228126526
26,0.952102780342102
27,0.9626168012619019
28,0.9602803587913513
29,0.9626168012619019
30,0.9684579372406006
31,0.9672897458076477
32,0.9742990732192993
33,0.9766355156898499
34,0.9731308221817017
35,0.9789719581604004
36,0.9754672646522522
37,0.9824766516685486
38,0.9836448431015015
39,0.9871495366096497
40,0.9813084006309509
41,0.9871495366096497
42,0.9883177280426025
43,0.9894859790802002
44,0.9883177280426025
45,0.9918224215507507
46,0.9929906725883484
47,0.9894859790802002
48,0.9964953064918518
49,0.9953271150588989
50,0.9976635575294495
51,1.0
52,0.9988317489624023
53,0.9988317489624023
54,0.9976635575294495
55,0.9988317489624023
56,1.0
57,0.9988317489624023
58,1.0
59,0.9988317489624023
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,0.9964953064918518
96,0.9929906725883484
97,0.9883177280426025
98,0.9731308221817017
99,0.9766355156898499
100,0.9848130941390991
